"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254873",1108.96601328375,-0.343637935881905,0.491709721149426,-0.698863416974172,0.484637391772282,0.616045325644817
"ENSG00000137714",507.475009041245,-0.274042966559826,0.392298835794603,-0.698556665366469,0.484829133463732,0.616256396046116
"ENSG00000168172",2313.84373637994,-0.700649589986191,1.00382047636007,-0.697982962577933,0.485187849017822,0.616679669891014
"ENSG00000260920",63.3667366866581,0.509042186723699,0.729408153142638,0.697883872740527,0.485249820852758,0.616725753978726
"ENSG00000136122",150.80691477587,0.568101504112929,0.81482993275915,0.697202546535377,0.485676045510674,0.617234753896142
"ENSG00000246877",27.7278344987799,-0.977329836204462,1.40187552509648,-0.697158783863637,0.485703429524824,0.617236849134922
"ENSG00000217702",108.216447350043,-1.18133085171033,1.69557473904645,-0.696714113808207,0.485981724328014,0.617557787235513
"ENSG00000225075",75.033690196979,-0.867680630180497,1.24649762757819,-0.696094890983716,0.486369405859134,0.618017686364263
"ENSG00000168994",425.392134821056,-0.679489476553136,0.976233172072485,-0.696031948095577,0.486408822350173,0.618026642789762
"ENSG00000027847",218.640754727419,-0.61616678854121,0.885295406384827,-0.696001339323984,0.486427990991592,0.618026642789762
"ENSG00000273974",41.7593732187466,0.746872041178084,1.0732235229656,0.695914714126166,0.486482241946857,0.618062829264404
"ENSG00000290590",77.719655640832,-0.481572827201951,0.692268115112423,-0.695644962824475,0.48665120064302,0.618244737338958
"ENSG00000291137",183.625052760359,-0.594405276680824,0.854614825367186,-0.695524181230343,0.486726862457887,0.618308107478282
"ENSG00000133874",81.549793678768,-0.694932528229567,0.999223432756734,-0.695472609476675,0.486759170744583,0.618316400145018
"ENSG00000202335",7.38809648918542,2.7084043758724,3.8952503478984,0.695309449708069,0.486861393488989,0.618413497587115
"ENSG00000135924",538.448768764704,-0.470995587145335,0.677537230939064,-0.695158237271385,0.486956141354096,0.618501090623134
"ENSG00000189195",210.697631902797,0.710049935915696,1.0215207173162,0.695091077331433,0.486998226146117,0.618521788598203
"ENSG00000161642",165.397309257372,0.630866689988729,0.90827701128611,0.694575203544378,0.48732155639134,0.618899666851464
"ENSG00000113396",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000128710",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000139364",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000162728",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000177335",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000178171",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000179772",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000200693",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000207421",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000224361",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000225760",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000227484",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000233270",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000237248",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000237347",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000237797",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000241596",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000246379",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000250575",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000254094",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000254678",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000255491",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000261124",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000262228",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000264015",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000266041",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000268836",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000274565",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000275586",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000276908",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000279708",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000281859",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000286123",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000287016",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000287193",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000287349",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000289152",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000289236",1.77920315015674,-2.93139331249048,4.2231721697238,-0.694121194846335,0.487606207795576,NA
"ENSG00000165792",601.541226434315,0.601846873790963,0.867100945849465,0.694090897572896,0.487625206575614,0.619252512681856
"ENSG00000166965",108.114369096189,0.624816977756989,0.901022817072931,0.693453002429809,0.488025309888737,0.619727803905939
"ENSG00000137474",114.091311566836,0.751494490955104,1.08378189659317,0.693400114282586,0.488058490566291,0.619737126098153
"ENSG00000267834",5.92978013975169,2.76729111228485,3.9913685037642,0.693318872881583,0.488109461723883,0.619769036475494
"ENSG00000133193",690.849849505547,0.243856081106834,0.351792576187549,0.693181430232423,0.488195700291151,0.61984572132255
"ENSG00000279089",130.457372789017,0.7706935815036,1.11235375078518,0.692849357463479,0.488404093684037,0.620077485729604
"ENSG00000269886",21.737140007917,0.679022848390321,0.981019321240226,0.692160524964876,0.488836525742487,0.620593649873376
"ENSG00000274944",176.023712912935,-0.317222897221746,0.458396027804394,-0.692028023761827,0.488919730383666,0.620666427434597
"ENSG00000054282",438.779836245631,-0.389413015488626,0.562871236882005,-0.691833211527663,0.489042077332268,0.620771298770332
"ENSG00000135045",162.361942603442,-0.372726099432787,0.538766297956503,-0.691814058983473,0.489054106498725,0.620771298770332
"ENSG00000265490",21.7331544074372,1.09562736817999,1.58437052845258,0.691522184050008,0.489237444536681,0.620971151024966
"ENSG00000188566",780.518186806681,-0.731273278759665,1.05765256986589,-0.691411621920786,0.489306902590381,0.621026446088146
"ENSG00000176155",604.417917995632,0.546325500329719,0.790267336049864,0.691317324413933,0.489366146973782,0.62106877283412
"ENSG00000280198",39.1126691208226,0.575597560834961,0.832676212667014,0.691262164186671,0.489400804332121,0.621079892645198
"ENSG00000100209",188.997552581105,-0.510358073031321,0.738908503748009,-0.690691838627653,0.489759219279465,0.621501857947021
"ENSG00000091073",149.97026565999,0.635387749072853,0.920188095834405,0.690497684059581,0.489881265846487,0.621614960825886
"ENSG00000277283",49.5540729272104,0.666737985647486,0.965632555222555,0.690467592503465,0.489900183019134,0.621614960825886
"ENSG00000163166",1183.47961663622,0.259145469488569,0.375383501128998,0.690348586736411,0.489975000303785,0.621671240791878
"ENSG00000113312",656.162652616503,0.346036456170975,0.501273570056163,0.690314584373967,0.489996378249236,0.621671240791878
"ENSG00000180891",546.739762388504,-0.533113363790921,0.772360584758512,-0.690238956144566,0.490043928984684,0.621698682505616
"ENSG00000174225",17.5472684322982,1.54514917361322,2.2389323493665,0.690127673598723,0.490113901642855,0.621754565587762
"ENSG00000074935",210.256994674125,-0.287916462529723,0.417332698354688,-0.689896726675909,0.490259134467338,0.621905912152358
"ENSG00000149658",1415.28704740012,-0.348237032780115,0.504811954893371,-0.689835154267832,0.490297858677449,0.621922141026018
"ENSG00000184208",284.370112720529,0.436060725325511,0.632329485401777,0.689609982442052,0.49043948808165,0.622068892175699
"ENSG00000187713",294.916356317633,0.646367065113464,0.937413615090922,0.68952173801185,0.490494998387214,0.622106400915862
"ENSG00000255050",47.8170551461401,-1.48832655698646,2.15921551298143,-0.689290414985666,0.490640528553344,0.622220643532489
"ENSG00000286864",13.5859133450141,1.57594097910599,2.28636750038403,0.689277195744469,0.490648845756173,0.622220643532489
"ENSG00000170417",205.175289944123,-0.549383754830384,0.797096330075856,-0.689231318852141,0.490677710891792,0.622220643532489
"ENSG00000116771",24.3216996626352,0.717785439525927,1.04145567483038,0.689213623655014,0.490688844720376,0.622220643532489
"ENSG00000290770",978.864856645264,0.440566438453407,0.639517863169268,0.688904038223553,0.490883658026139,0.62243476891879
"ENSG00000259706",15.8981806815885,1.55071077743651,2.25123878220477,0.688825543382745,0.490933059200562,0.622443136330182
"ENSG00000257411",1595.29677464391,-0.231137853381599,0.335560591228239,-0.688811080394077,0.490942161856156,0.622443136330182
"ENSG00000103043",882.872532621608,0.30207677970615,0.438778002291883,0.68845014592414,0.491169354657461,0.622698266312747
"ENSG00000248049",156.044331082459,0.387380374779264,0.562902633829231,0.688183624482354,0.491337154738322,0.622852279275807
"ENSG00000182568",5.48732938400276,2.75020338940228,3.9965982409223,0.688136065627557,0.491367100705197,0.622852279275807
"ENSG00000115020",2094.88102323644,-0.611262625647399,0.888290812805212,-0.688133454535051,0.491368744837289,0.622852279275807
"ENSG00000089693",2308.35551405156,-0.586157100173533,0.85197395843139,-0.687998845942116,0.49145350811381,0.622926801532694
"ENSG00000005302",460.114118810775,0.45407240207674,0.660460440661918,0.687508856127198,0.491762121886119,0.623285035740458
"ENSG00000131508",1086.88707209212,-0.219144402221259,0.318793113172432,-0.687418871883615,0.491818808605019,0.623323943435996
"ENSG00000136238",6011.62237328627,0.389735546136522,0.567045402340399,0.687309242836542,0.491887875556181,0.623378536715427
"ENSG00000062370",372.858479796536,-0.53703577777781,0.781515752233732,-0.687172045147973,0.491974318247266,0.623455143656474
"ENSG00000081377",1126.45283167838,0.590557155110183,0.859611365116757,0.687004824592995,0.492079688147377,0.623555726767406
"ENSG00000184319",68.2605228998355,-0.403589361051214,0.587619998848321,-0.686820329196096,0.492195957408355,0.623670110021238
"ENSG00000215910",138.664841903782,-0.326628742840846,0.475615000348392,-0.686750297197497,0.492240095531282,0.623693087390896
"ENSG00000288558",805.520673184325,0.458911990156629,0.66830025816292,0.686685340236326,0.492281036976511,0.623712012194645
"ENSG00000260367",68.3682267812665,-0.772979389399434,1.12649132238867,-0.68618317250804,0.492597607750668,0.624080134398184
"ENSG00000143322",4263.69261865094,-0.521102397163904,0.75965552879359,-0.685971966782718,0.492730786218294,0.624215887209992
"ENSG00000284518",26.8033977069712,-1.48727816401402,2.16839186255024,-0.685889939775383,0.492782514598014,0.624248446105676
"ENSG00000105619",281.107624940263,-0.602183588961655,0.878044258988719,-0.685823730178722,0.492824270226879,0.624268368919481
"ENSG00000114473",164.55349573776,0.392756607499884,0.572721385698077,0.685772554173374,0.492856546096421,0.62427628210069
"ENSG00000168906",3567.53287718796,0.384525880358012,0.56097272038574,0.685462708585191,0.493051984830132,0.624464445771497
"ENSG00000164144",785.281417967773,-0.638942737454715,0.932144657952667,-0.685454486064501,0.493057171846849,0.624464445771497
"ENSG00000267493",66.9387392630885,-1.14717102921764,1.67444846464585,-0.685103813846113,0.493278413780327,0.624698006023083
"ENSG00000291124",211.372645348841,0.313834890720742,0.458099874970874,0.685079625356142,0.493293676453935,0.624698006023083
"ENSG00000205790",186.856714641378,-0.52073811900186,0.760565544108952,-0.684672245587901,0.493550766645192,0.624990580106562
"ENSG00000272305",131.591199684784,0.339243010714766,0.495564495784574,0.684558747853151,0.493622405839912,0.624999128958401
"ENSG00000262884",46.7927225182472,0.620203248763276,0.905992374581841,0.684556808824721,0.493623629793187,0.624999128958401
"ENSG00000155363",1362.96135598408,-0.615042226414662,0.898478243791886,-0.684537695447108,0.493635694623874,0.624999128958401
"ENSG00000288032",42.1383291528862,-0.506026141503616,0.739390430076232,-0.684382865831039,0.49373343267674,0.625089878025704
"ENSG00000267261",1254.32630337709,-0.49349676888895,0.721337077646676,-0.684141692118416,0.493885697107582,0.625249646842347
"ENSG00000183647",303.444835778169,0.282161682449557,0.412552602935129,0.683941103369853,0.49401235746014,0.625331714286408
"ENSG00000011295",1038.08702926848,0.464638246267318,0.679367576356523,0.683927615090481,0.494020875162745,0.625331714286408
"ENSG00000135407",91.2874071962294,0.367505606133638,0.537384638226447,0.683878138657875,0.494052119667786,0.625331714286408
"ENSG00000176108",161.378809921023,-0.435216849967041,0.636418089374834,-0.683853676118105,0.494067568220387,0.625331714286408
"ENSG00000101444",2859.70579071786,-0.234005640307876,0.342197264052451,-0.683832586902299,0.494080886663085,0.625331714286408
"ENSG00000153485",212.151901308344,-0.366068926487578,0.535436366142394,-0.683683346211538,0.494175141914746,0.625418004521305
"ENSG00000130962",355.567050235706,0.376905807859253,0.551585261892323,0.683313775582406,0.494408591319801,0.62568043764321
"ENSG00000170448",937.096886685811,-0.49253876591543,0.721000381492504,-0.68313246228227,0.494523144389495,0.625792386167765
"ENSG00000171109",2056.07923212806,-0.556246594159547,0.814407503503503,-0.683007697948051,0.494601978274046,0.625839866332377
"ENSG00000124593",672.242372534225,-0.646754840215671,0.946986111376944,-0.682961273080628,0.494631314114585,0.625839866332377
"ENSG00000100749",1342.79379064685,-0.446841255430848,0.654281840266042,-0.68294919395769,0.494638947056227,0.625839866332377
"ENSG00000283956",34.6155542692285,-1.14494395072063,1.67659971979145,-0.68289642256594,0.494672294665613,0.62584904337501
"ENSG00000120837",417.797184849494,-0.441648393671699,0.64677856862016,-0.68284327140572,0.49470588347532,0.625858524595003
